Hardcore,Casual
0,0
0,0
11.7822777338625,7.0121160891017
16.4532272978192,8.98805857820858
18.3033467127984,9.61685585652091
19.6237925654958,9.42573207442381
19.6909234526478,7.74486305755489
18.4022645884887,4.89893139554729
16.4613455945291,1.52912988297937
14.3607987499882,-2.48595070271905
14.4434635267879,-3.69595147220352
13.1396786346186,-5.67175892361009
10.7548873716499,-9.18256780807281
7.48730879419929,-13.3773661660466
3.70942837832567,-17.7924181923998
0.321511675326175,-22.5038944425909
-3.51991539988353,-27.4580229467286
-4.79171432559275,-29.2400750730364
-6.68797002476804,-31.815962532809
-9.65815489248064,-35.6768325220954
-13.3594469612821,-39.8930915748568
-16.9905925806076,-44.7472082900272
-21.4001754596652,-49.8454188907196
-26.0968525013361,-55.1071756892349
-27.476604330587,-57.1211298525714
-29.4452316970843,-59.8998443175303
-32.8489881485014,-63.91952602538
-36.7875357554715,-68.6031489249845
-41.4773017947012,-73.6060738634429
-46.341434436167,-78.7934333664292
-50.6515105913742,-84.1103697597799
-52.0653326233687,-86.3545958366971
-54.6946855727238,-89.2409555172278
-52.7434724297189,-91.5274373494492
-52.5132299418044,-94.6646064321434
-53.7942175831184,-98.0387397666631
-55.4952645319321,-101.928052648926
-57.9457544662948,-106.087105159849
-57.377832318872,-106.950328262603
-58.5561162450445,-108.839368461352
-60.3864765071553,-112.195277228831
-63.5337725029427,-116.224947536318
-66.7383854417859,-120.654203320058
-69.7453021653016,-125.388216117441
-73.2572192604128,-130.171126452036
-74.3481825992484,-131.708611038642
-76.0391795817487,-134.301726197076
-78.9161102274527,-137.923970886086
-82.5017380621278,-142.332713047024
-86.4349734894131,-147.140889435065
-90.6928945002124,-151.972778230704
-95.2581690323027,-156.916479776031
-96.4214215326518,-158.737196304464
-98.6385963133979,-161.615423351666
-101.758031883189,-165.593190573187
-105.744862401941,-170.176979206897
-110.019790877891,-175.136638379086
-114.025416224642,-180.203002759624
-118.86973805087,-185.408062085227
-122.888881470756,-190.229605662943
-126.989285004025,-195.031478201102
-130.771931692204,-199.968051185631
-134.954747205001,-204.871695931277
-139.23261283394,-209.943950621008
-140.528906663262,-214.828259585724
-140.966410403527,-219.406343667709
-141.584014788905,-223.543639310201
-143.081957373789,-227.638362747959
-144.395604174618,-231.758232424831
-146.398248243357,-235.631224150015
-148.97816150036,-239.828502802661
-151.809771975114,-243.794515880532
-155.157536495321,-248.195525095714
-157.719402703123,-252.519556123123
-160.434489298973,-256.687789337398
-163.365784985487,-260.861571803094
-166.714855048466,-265.13134425092
-170.260823693071,-269.460607056833
-173.885184151904,-273.971450920693
-177.457068676123,-278.706703346166
-181.16011297924,-283.367431349126
-184.325296018579,-287.951253097475
-187.974250622381,-292.735849342571
-192.025413344369,-297.592886201359
-195.867201979316,-302.29698426538
-200.319315324208,-307.156470222652
-204.540746346905,-312.009080202291
-209.233133127668,-316.762851793537
-213.21059020883,-321.539504068047
-217.50608108833,-326.426292278721
-221.623017698986,-331.350297127428
-225.895800634683,-336.450595279872
-230.284416378306,-341.565552243299
-234.567885421157,-346.615978593078
-238.883160952781,-351.744336475891
-241.2223951424,-356.684927741645
-242.027161455215,-361.403926488376
-242.522197064197,-366.350682413243
-243.94172590376,-371.057197552622
-245.465888987124,-375.446056714184
-247.234191168144,-379.937771851772
-249.360723933716,-384.19677596337
-251.475182481736,-388.514833263787
-253.992357972702,-392.846378912997
-256.800823507885,-397.11646645784
-259.530159757776,-401.149623475457
-262.943635279897,-405.241040105057
-266.72574032079,-409.523413952925
-269.993848953038,-413.813805042336
-273.581107318323,-418.21910905258
-276.917948499626,-422.526560991982
-280.772128109873,-427.017914281764
-284.368857645359,-431.730222634743
-287.861440478932,-436.261933988673
-291.34707016898,-441.147203744871
-294.995346038403,-445.765957597393
-299.013752594264,-450.495005398123
-302.779934218931,-455.246222549606
-306.970698845608,-460.190346794267
-310.71455939607,-465.173652532303
-314.636040260651,-470.024019570839
-319.148778177173,-474.894567007032
-323.383272767058,-479.972319969877
-327.432501486033,-484.987101039121
-331.355733446404,-489.976303376809
-334.74261081833,-495.148314908366
-337.565843215494,-500.126540392261
-339.455604371248,-505.151993761477
-340.028143178436,-510.070060143704
-340.409462578695,-514.960518308554
-341.221109727848,-519.809444444046
-343.181620635418,-524.65997540299
-344.842016036463,-529.362540506326
-347.436827878152,-534.063249591436
-349.752518259021,-538.71399148134
-352.33089482203,-542.975463685474
-355.099174172053,-547.216466052945
-357.81779931959,-551.39574055898
-360.520861522321,-555.781986028059
-364.283525479596,-560.178910965245
-367.442637728313,-564.663337205109
-371.065897310437,-569.305970276006
-375.422305426493,-573.695274387705
-379.584629832515,-578.115536802546
-383.257704097976,-582.675826523989
-387.044718874582,-587.199492436748
-390.826756389253,-591.866248300549
-394.69257937464,-596.622622031798
-398.725202160222,-601.396583205069
-402.839274211136,-606.049511795425
-406.895857251814,-610.724360381281
-410.961177787581,-615.624201592024
-414.86766411348,-620.170495989009
-418.947295987263,-625.133964542839
-423.424517202847,-630.036905353848
-427.607658740567,-634.914860665577
-431.754757633336,-639.836678320491
-435.477800190498,-644.811103654298
-438.595769412,-649.856331007737
-440.15922720123,-654.836543589115
-441.333040387747,-659.842329644261
-441.908606481443,-664.81166924791
-443.277269842054,-669.712509870753
-445.116678545337,-674.777999757654
-447.209493178978,-679.852440979174
-449.594905787459,-684.833215024268
-451.989134263158,-689.481775609536
-454.650407955246,-694.1561766743
-457.563663153374,-698.881344846462
-460.830337426975,-703.632621660066
-464.337159389516,-708.083496991867
-467.719495019249,-712.55924838751
-471.097152036434,-717.234770631287
-474.862259555703,-721.704778013589
-478.709042413497,-726.155386571763
-482.607894970029,-730.6040359784
-485.865134377197,-735.031791680232
-489.752966502444,-739.417138416682
-493.756091183501,-743.997589931396
-497.871753135898,-748.673053115516
-501.963040256859,-753.274860129334
-505.62699443823,-758.083363235602
-509.536681395265,-762.960772442009
-513.654080314702,-767.857472162264
-517.907712340598,-772.710794226414
-522.219457871791,-777.439650744913
-526.615358362597,-782.132918564576
-531.158587552722,-786.955396823134
-534.47051061143,-791.816823305643
-537.47634773336,-796.74704398223
-539.816863628902,-801.569757746799
-541.735754231362,-806.611948978939
-543.095345670573,-811.558035941126
-545.150158292346,-816.5799767479
-547.040903752025,-821.563233384195
-549.041587433874,-826.417388468147
-551.603810018074,-831.406333737024
-553.496176074873,-836.29046423414
-555.942764248135,-841.256304102553
-558.638208086923,-846.132747620963
-561.227601399178,-850.901163228148
-564.807067994756,-855.731934328642
-568.492819529327,-860.424227420805
-572.211154511236,-865.23574347001
-575.748912557486,-869.769462085304
-579.318879385665,-874.385079141479
-582.821524046685,-879.075765406309
-586.866063543841,-883.791669476644
-590.798157281875,-888.459706969678
-594.666412888852,-892.865451554102
-598.676259519428,-897.595294783244
-602.558998075314,-902.28284791324
-606.395545468799,-906.789204187382
-610.199230268677,-911.527029209797
-614.118554906253,-916.373501262426
-618.279145648692,-921.059264228821
-622.460848506276,-925.87197514092
-626.859396774451,-930.709814146936
-630.693335313482,-935.464756003582
-634.479404235245,-940.038842455416
-637.742520378563,-944.775759949279
-640.508156062887,-949.627051076165
-642.682238209029,-954.377788010737
-644.76110318159,-959.330878198145
-646.196621218393,-964.135113821971
-647.75367114251,-968.950638652507
-649.230015615138,-973.65426804052
-651.053340634347,-978.628264902958
-653.642235044345,-983.527187640794
-655.616958940583,-988.312423347108
-658.021140161641,-993.208759081662
-660.778429822963,-997.996672733515
-664.03617193919,-1002.86781328744
-667.419635481888,-1007.68065519729
-670.96282008875,-1012.25655247099
-674.398467544845,-1016.9332606005
-677.67146606498,-1021.57759566823
-681.203913304387,-1026.05737016921
-685.069956870349,-1030.73271338593
-688.957315639933,-1035.46838430675
-692.845885845782,-1039.90656034516
-696.497413549279,-1044.62139906588
-700.676832803159,-1049.38274997876
-704.902184098144,-1054.13557767617
-708.977326476508,-1058.77093408566
-713.65203843726,-1063.36682918057
-718.372061974961,-1067.78652807149
-722.446437715843,-1072.33613289045
-726.730411154728,-1077.1934263864
-730.775023420527,-1082.1581837972
-734.838720584234,-1087.00582679981
-738.455084685894,-1091.71420917848
-741.649010420836,-1096.41037224394
-744.092273825466,-1101.2301108325
-745.634254249342,-1106.05877456978
-747.940968608995,-1111.06241651961
-749.791010414672,-1115.8843537937
-751.628413631195,-1120.85025721394
-753.570095349897,-1125.86361759361
-756.168771742955,-1130.88234537024
-758.723714526803,-1135.96146429219
-761.383082886253,-1141.10905337199
-764.048118931278,-1145.93361525378
-766.86969902011,-1150.78323536144
-769.990397286491,-1155.80724219573
-773.530958659605,-1160.93984078409
-777.153437536624,-1165.61374705002
-780.972656149302,-1170.50769271683
-784.892649144671,-1175.3614833717
-788.496043980299,-1179.83018892441
-792.165799387526,-1184.25291550071
-796.068468591917,-1188.8855363026
-800.051187969079,-1193.4636586
-804.147267443536,-1198.02633901791
-808.157474458504,-1202.71004456259
-812.076011347123,-1207.19613238065
-815.951402001722,-1211.78992421472
-820.055677151894,-1216.38074534988
-824.062023865617,-1220.99341681245
-828.309135609186,-1225.65222512045
-832.541941524588,-1230.28985636271
-836.410291846875,-1234.91735272815
-840.53410219997,-1239.40922087068
-844.366991158268,-1243.98556627736
-847.317203654401,-1248.73124590868
-849.574530805306,-1253.64083333701
-851.59799283016,-1258.20820387023
-853.363095944376,-1262.93156868414
-854.849634383336,-1267.70652228957
-856.587177651381,-1272.55855011249
-859.024639135287,-1277.51023017802
-861.252038714626,-1282.4059966454
-863.688599521396,-1287.28733227638
-866.53515356611,-1292.29683762446
-869.655999591211,-1297.3728918301
-872.635122829489,-1302.49084547844
-875.842645674544,-1307.4871531243
-879.181958343509,-1312.43364468415
-882.808991163582,-1317.32820071506
-886.278172399734,-1322.21725571659
-890.27122759956,-1327.12259567702
-893.929459094464,-1331.94414835305
-897.623005910781,-1336.76573144685
-901.754907020313,-1341.48867406533
-905.193359306013,-1346.29965518286
-909.063132176848,-1351.03350480624
-913.089967088761,-1355.68990719697
-916.841359158248,-1360.59612971147
-920.918833007262,-1365.54352522073
-924.9883320281,-1370.29202195703
-928.920564695136,-1374.98841186616
-933.519674380879,-1379.80999019435
-937.816035681164,-1384.6141407832
-941.646342766001,-1389.33096098301
-945.176037687444,-1393.89399842445
-948.370073882079,-1398.78344657579
-951.151789258999,-1403.6242949299
-953.427294102922,-1408.24844534874
-955.906228503678,-1412.93038984364
-957.630107419281,-1417.65561810445
-959.204850043021,-1422.46390090315
-961.190107109623,-1427.31244531189
-963.314391163729,-1432.1775699618
-966.114112886637,-1437.00140530982
-968.558561989524,-1441.86917206914
-971.134286096707,-1446.91669853381
-974.141303791927,-1451.93622721023
-977.365643300878,-1456.72634808243
-980.193091036867,-1461.58793925466
-983.701778583645,-1466.54318835902
-987.243738932467,-1471.46615390801
-990.584734489292,-1476.25634059008
-994.194829096738,-1481.09835887891
-997.900078394345,-1485.92152149831
-1001.86485073272,-1490.86591767687
-1006.03289675758,-1495.72995029395
-1009.95388375205,-1500.68933835403
-1013.49746190076,-1505.63034371659
-1017.29893931442,-1510.56395255904
-1021.16912648741,-1515.4453624592
-1025.27658429678,-1520.23292189429
-1029.01134966168,-1524.88092891712
-1033.21609972847,-1529.60936003076
-1037.47724045176,-1534.22574229315
-1041.82917826694,-1538.9820831162
-1045.31223404501,-1543.67728749103
-1048.33755906444,-1548.50676215578
-1051.4071425079,-1553.35129672068
-1053.90455412939,-1558.19451037924
-1056.09542610027,-1562.76569099637
-1058.21339037404,-1567.38958303126
-1060.31211833341,-1572.17051734752
-1062.27711122849,-1576.94873291138
-1064.27051202338,-1581.85104130132
-1065.95106931956,-1586.53344537381
-1068.03362690902,-1591.30328559782
-1071.01239635162,-1596.02453816036
-1073.70289272462,-1600.74643621494
-1077.15646802202,-1605.66642875464
-1080.72780725495,-1610.49811373237
-1083.67813241206,-1615.44702203642
-1086.97935527392,-1620.131514703
-1090.47885212924,-1624.75638817975
-1093.94703056491,-1629.46230586686
-1097.69625182613,-1634.37839730605
-1101.48656125297,-1639.31842607278
-1105.13720388532,-1644.34352942166
-1109.19129257182,-1649.32547853546
-1109.68202479337,-1650.39694702483
-1108.39554320055,-1650.40884988389
-1108.34140149946,-1650.8564479192
-1109.84752369032,-1652.57788846258
-1112.06167124741,-1654.83264494725
-1114.45427086914,-1658.01242673471
-1115.04146197354,-1659.07338795631
-1116.00280691428,-1661.1103627295
-1117.98546778201,-1663.88631633583
-1120.68401726717,-1667.6739729006
-1123.97438558931,-1672.02951425815
-1126.78417016109,-1676.6277887701
-1130.0795474368,-1681.36266296228
-1129.73073391086,-1683.20768634984
-1130.56110019953,-1685.39533179499
-1131.71494572104,-1688.77741456688
-1133.7408763641,-1692.9279955352
-1135.87238926667,-1697.48210507074
-1138.43494643703,-1702.12400946822
-1141.48668193305,-1706.90951852987
-1141.1627241894,-1708.37465856283
-1142.16730219412,-1710.75740085306
-1144.78434424767,-1714.56617924697
-1148.444210245,-1719.08824466872
-1152.11625799609,-1723.64260263134
-1155.76083558707,-1728.31584220739
-1159.84038624384,-1733.15115705714
-1160.07134901973,-1734.92220225244
-1161.95885603415,-1737.58103248682
-1164.77826148491,-1741.30573531672
-1168.33934220714,-1745.54809265885
-1172.3690094894,-1750.19971916554
-1176.31272878749,-1754.97262003983
-1180.54110800096,-1760.0154621042
-1181.9335119206,-1761.92201471564
-1183.98045472482,-1764.43458321246
-1187.17687797454,-1767.94766565226
-1190.74107626076,-1772.04012206563
-1194.76430377815,-1776.44783492062
-1199.16470198681,-1781.23880263366
-1203.47038614787,-1785.92744688678
-1203.67895007907,-1787.52784376568
-1204.63525789679,-1789.82505122744
-1207.18533266624,-1793.49713062885
-1208.91981841088,-1797.76536922507
-1211.35918157972,-1802.12835587325
-1214.37249137335,-1806.81438776127
-1217.02976030219,-1811.5228382867
-1216.42982561088,-1813.12947229888
-1216.49127855479,-1815.62773669208
-1218.24525886124,-1819.33016042228
-1220.33787374552,-1823.63820746507
-1223.13701044587,-1828.04256589898
-1226.15309258093,-1832.75742880288
-1229.75672558238,-1837.64895459299
-1232.48268396261,-1841.92025816539
-1235.2959901831,-1846.12612123365
-1238.32627503603,-1850.43589225432
-1241.58494311584,-1855.13522866172
-1245.62329393317,-1859.93754347955
-1249.18691369166,-1864.77930713641
-1252.68142862579,-1869.63965468029
-1256.51459978624,-1874.36556171706
-1260.17300875779,-1879.10593976373
-1264.08875873835,-1883.69730853029
-1267.91342695023,-1888.41176062202
-1272.08684904456,-1893.27487344669
-1275.9804841363,-1898.12536465813
-1280.34628571077,-1902.94819730231
-1284.34614556968,-1907.5223756465
-1287.97797065835,-1912.2303302023
-1291.81114834574,-1917.16297235514
-1295.60774835577,-1921.77355058648
-1299.1396377241,-1926.49001914181
-1302.32070136789,-1931.27467778903
-1305.47125119172,-1935.91371069405
-1308.59375352835,-1940.56963295167
-1310.79103060001,-1945.07309162862
-1312.42121447415,-1949.5710449867
-1314.12626441474,-1954.15029845325
-1316.54149971693,-1958.93205680839
-1319.16721281276,-1963.71280423922
-1321.36189382984,-1968.47388215862
-1323.09634715292,-1973.04315808052
-1325.18164037207,-1977.7553693745
-1327.81263000257,-1982.40186163414
-1331.07905287991,-1987.06896243257
-1333.89116325939,-1991.88951976524
-1336.73798143712,-1996.52260361446
-1340.48005393061,-2001.55726455594
-1344.12187246047,-2006.42955413277
-1347.78318990743,-2011.27748685177
-1351.73347513615,-2015.95740341815
-1355.74347849759,-2020.42406918625
-1359.67628473377,-2025.18925840735
-1363.7098666081,-2029.9843397563
-1367.95440615904,-2034.8402630151
-1372.18023554728,-2039.6074245816
-1375.82347498453,-2044.44765257733
-1380.02430344658,-2049.10652177105
-1384.10709690839,-2053.74363898214
-1388.20878073663,-2058.42410677178
-1391.84496736154,-2063.20330120512
-1395.56849832554,-2068.11701239297
-1399.07609059881,-2073.13630226247
-1401.70783956772,-2078.01931945137
-1404.44704286648,-2082.69853521488
-1406.72793942625,-2087.22305581629
-1409.23876759287,-2091.83319454742
-1411.3977155421,-2096.55586850248
-1413.39539457105,-2101.21154653127
-1416.12630993217,-2105.65885761905
-1418.13972834353,-2110.25869440826
-1420.05508179826,-2114.87941302237
-1422.43011384362,-2119.45378793061
-1424.89173964441,-2124.33300912619
-1426.79898112812,-2129.07028821726
-1429.80109416685,-2133.8461419105
-1432.75808490774,-2138.71867250292
-1436.56760703708,-2143.38176274982
-1440.34605258118,-2147.99053631074
-1444.08747111622,-2152.87049124068
-1447.43549302025,-2157.73044982543
-1450.82027618839,-2162.51979291226
-1454.45231504716,-2167.21647011227
-1458.11732321377,-2171.90269790699
-1462.23257168868,-2176.43996764573
-1466.02586072977,-2181.14212252881
-1470.31231090267,-2185.76183879408
-1474.06159041287,-2190.4409061498
-1478.13785892872,-2195.213637994
-1482.15681538811,-2200.07344398309
-1486.06581984711,-2204.82248813767
-1490.05445966808,-2209.66151001704
-1493.89110417355,-2214.48032328761
-1497.81560222577,-2219.04642337929
-1501.03649573384,-2223.82911947476
-1504.27324281949,-2228.46751546314
-1506.9967326673,-2233.07258476309
-1509.31157071797,-2237.75855864525
-1511.64669172209,-2242.38189268397
-1513.38533015704,-2247.19622682839
-1515.418892416,-2251.90238045352
-1517.23318369011,-2256.60697703701
-1519.8153802466,-2261.32259920883
-1521.51300414249,-2266.20299352242
-1524.13944079237,-2271.07595860371
-1526.36941813006,-2275.84951739262
-1529.037300053,-2280.47625786716
-1531.74561925618,-2285.20579978689
-1534.98497202264,-2290.04844182576
-1538.12387773411,-2294.97545171345
-1541.7604559251,-2299.70753168393
-1545.84896664324,-2304.38189168727
-1549.88563840306,-2309.21103445843
-1553.68783372942,-2314.07613781807
-1557.00328314061,-2318.9960975244
-1560.66098026692,-2323.86098879024
-1564.46735204827,-2328.54281422381
-1568.32004470285,-2333.34081223975
-1572.38498048944,-2338.07219991373
-1576.24032900409,-2342.90029876814
-1580.51134286269,-2347.85158308492
-1584.49795796323,-2352.64452381279
-1588.46274917004,-2357.6167569612
-1592.33192471183,-2362.59618566081
-1595.52154682183,-2367.35310953526
-1598.92976186314,-2372.13198769004
-1602.05113851376,-2376.78361310904
-1604.79140803311,-2381.55363980615
-1607.85516086115,-2386.22801496143
-1609.62945865306,-2391.00217903597
-1611.80738338428,-2395.86428398731
-1614.77296410661,-2400.76483433191
-1616.91114386812,-2405.59349473953
-1618.91198622986,-2410.21615862454
-1620.96089553764,-2414.79207220946
-1623.2417287663,-2419.26835172161
-1625.86804297878,-2424.10840897208
-1628.61568966958,-2428.75834229221
-1631.76284450227,-2433.55279166042
-1634.95809465457,-2438.31178148625
-1637.90658007459,-2443.10725254685
-1641.52020870511,-2447.76706163366
-1644.60839126454,-2452.47294585328
-1647.8971774086,-2457.23803904821
-1651.61732205055,-2461.7538246062
-1655.25736820418,-2466.60320293479
-1659.02409859291,-2471.38900326136
-1662.61334723554,-2476.09202564655
-1666.61337622247,-2480.97364014602
-1670.53372682073,-2485.71210047435
-1674.07669172733,-2490.41607266673
-1677.77681801561,-2495.10696656323
-1682.09798921129,-2499.80921794716
-1686.09433173863,-2504.54235697981
-1690.01903586858,-2509.4378122161
-1693.79233457064,-2514.33134744728
-1697.44767131643,-2519.20722221167
-1700.81223712529,-2524.06305692812
-1703.5593762682,-2528.92113511426
-1706.37526500117,-2533.76780099432
-1708.38820519005,-2538.44016635069
-1710.94168818835,-2543.09342140894
-1713.13227895255,-2547.82212084296
-1715.72250940643,-2552.70492245665
-1718.2132183591,-2557.56126638184
-1720.66102839782,-2562.03265118193
-1722.79549902127,-2566.69870095932
-1725.19319106175,-2571.5544814065
-1727.29323091533,-2576.63143809768
-1730.09235210715,-2581.34987569041
-1733.20103720955,-2586.04553498047
-1736.41000100321,-2590.75732726233
-1739.72576603303,-2595.40782609657
-1743.09274472656,-2600.07130771594
-1746.27144489747,-2604.91379462648
-1749.40707878565,-2609.74711268255
-1753.00945627206,-2614.57400447263
-1756.46073282344,-2619.41750001296
-1760.33565742259,-2624.08125821812
-1764.25742701559,-2628.94937126927
-1768.36231676779,-2633.70234974719
-1772.54878245276,-2638.44190290938
-1776.48174094862,-2643.23302640851
-1780.94408432557,-2647.98126522286
-1785.2783813159,-2652.75954438614
-1789.3874421786,-2657.58446925877
-1793.38205688762,-2662.45219250798
-1796.88418290916,-2667.24856106389
-1800.34841448522,-2672.21890263128
-1803.84125326447,-2677.02276520263
-1807.26879474675,-2681.94565576404
-1810.529151102,-2686.90331572149
-1813.89047773238,-2691.72888835715
-1816.57260577787,-2696.70258366216
-1819.4164398028,-2701.41224642781
-1821.35139263465,-2706.38667541269
-1823.19156579078,-2711.32788516638
-1826.09310931114,-2716.15914751276
-1828.9608351036,-2721.00490988927
-1831.633716905,-2725.79759654083
-1834.54868659775,-2730.5257513993
-1837.74387782921,-2735.29556865508
-1840.87986425435,-2740.00830584736
-1843.8936942212,-2744.59079078939
-1847.03964732642,-2749.25247841508
-1850.01653889122,-2753.98933822967
-1853.14143303025,-2758.74824541191
-1856.49315710333,-2763.52703810467
-1859.86599061149,-2768.17607466466
-1863.57328596319,-2772.98400545888
-1867.56529048554,-2777.59089681408
-1871.5532282009,-2782.37229577805
-1875.6245658655,-2787.10747102608
-1879.59602032607,-2792.00359778864
-1883.19848555675,-2796.86509598051
-1887.00543996124,-2801.62234481308
-1890.92134022208,-2806.41587674951
-1894.97712005205,-2811.08823016852
-1898.46751235582,-2815.86424186037
-1902.13133122671,-2820.74165407088
-1905.62266203946,-2825.51651584655
-1908.72922611007,-2830.26220594678
-1912.00307158094,-2835.06452695713
-1914.92468627569,-2839.8080293692
-1917.38560682229,-2844.53075032688
-1920.02536458725,-2849.24402637093
-1922.38330188979,-2854.08782572944
-1925.02596707462,-2858.87905521021
-1927.39625167457,-2863.75438451596
-1930.08416343438,-2868.49824482556
-1932.40074509029,-2873.1201081053
-1935.18011121007,-2877.78322568162
-1938.12000086427,-2882.57520379054
-1940.79498348052,-2887.28961873791
-1943.52532079959,-2892.03978579344
-1946.37306224868,-2896.86416813428
-1949.24915281714,-2901.55059964482
-1952.42108567788,-2906.4018154826
-1955.65769414111,-2911.28915864929
-1958.92539575133,-2915.93961791347
-1962.47992104263,-2920.67292751734
-1966.19504969837,-2925.58280635884
-1970.16559178499,-2930.36292959267
-1974.0789316639,-2935.13666726993
-1978.38846246258,-2940.02451889591
-1982.69679581912,-2944.93255693512
-1986.53540873296,-2949.8678972649
-1990.84898849949,-2954.82728770936
-1995.45961358476,-2959.78217888138
-1999.85002397407,-2964.58697166666
-2003.63389541754,-2969.34979883467
-2007.29997539701,-2974.17767620113
-2010.99094311706,-2978.92777019403
-2014.02312866132,-2983.63145486859
-2017.12196798899,-2988.34573198048
-2019.53255781219,-2993.05628375024
-2022.33994826986,-2998.00578666726
-2025.19373916198,-3002.67971181243
